object_id,global_id,faa_identifier,name,latitude,longitude,airport_geom,elevation,icao_id,airport_type,service_city,state_abbreviation,country,oper_status,airport_use,iap_exists,dod_hiflip,far_91,far_93,mil_code,airspace_analysis,us_high,us_low,ak_high,ak_low,us_area,pacific
16029,37C8B7BB-BB65-4354-9741-2C25017AAE96,6X8,Vultures Row,33.34000583,-97.10306319,POINT(-97.10306319 33.34000583),710,,Aerodome,Sanger,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15710,554E849D-A259-463D-B6C3-70AA8ADFF756,T13,Dallas South Port,32.47738902,-96.68542415,POINT(-96.68542415 32.47738902),474,,Aerodome,Palmer,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14693,23E4BBDB-9BFD-4B8D-9655-487FDA1AA27C,9S1,Four Winds,33.36828224,-96.75470199,POINT(-96.75470199 33.36828224),790,,Aerodome,Celina,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15976,17675580-B5EE-444C-A018-E42738E82B0B,T76,Rhome Meadows,33.14929244,-97.49614272,POINT(-97.49614272 33.14929244),900,,Aerodome,Rhome,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16025,7FBD2E42-67C5-4BD1-B1E2-810BC64DE18D,T58,Ironhead,33.33178832,-97.23030156,POINT(-97.23030156 33.33178832),715,,Aerodome,Sanger,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15890,0BAFF828-86DF-433E-A38E-C9FA41E2D4E5,T48,Phillips Flying Ranch,32.868128,-96.21914905,POINT(-96.21914905 32.868128),500,,Aerodome,Rockwall,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15905,E7CD7B4C-AA0B-44B9-83D4-488C65B078F4,2TX,Salado,30.92074007,-97.54051177,POINT(-97.54051177 30.92074007),685,,Aerodome,Salado,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15069,7DF24FD7-80B7-4852-8564-07DA4A34053B,T25,Aero Estates,32.08175566,-95.45250992,POINT(-95.45250992 32.08175566),445,,Aerodome,Frankston,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19250,19F9201E-F596-42A3-A091-C8FBD77D9F45,TX6,Twisted Js,33.09295026,-96.39003522,POINT(-96.39003522 33.09295026),597,,Aerodome,Farmersville,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14955,12D5F60F-2686-48A7-87D7-B23B711D1355,1F7,Arpk East,32.81295021,-96.35203519,POINT(-96.35203519 32.81295021),510,,Aerodome,Dallas,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14972,0BDFBFAC-DD6E-4671-B52D-A4713FF25D6A,09T,Lazy G Bar Ranch,33.28132649,-97.49670107,POINT(-97.49670107 33.28132649),931,,Aerodome,Decatur,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
